Year,Month,Monthly_Sales
2014,1,14161.348999999998
2014,2,4119.816
2014,3,55526.19900000002
2014,4,28139.560999999994
2014,5,23634.667
2014,6,34508.99560000003
2014,7,33500.87299999999
2014,8,27603.51249999999
2014,9,81496.80679999998
2014,10,31394.940999999988
2014,11,78297.24069999997
2014,12,69379.83649999999
2015,1,18085.115599999994
2015,2,11924.271999999999
2015,3,38621.291999999994
2015,4,32640.482499999987
2015,5,29325.970500000003
2015,6,24659.684000000005
2015,7,28524.52099999999
2015,8,36380.928199999995
2015,9,63704.30200000004
2015,10,31382.15550000001
2015,11,74699.03350000005
2015,12,74478.47920000007
2016,1,18432.590999999993
2016,2,22706.415
2016,3,50832.54900000002
2016,4,38587.140999999974
2016,5,56457.319999999985
2016,6,39628.19199999998
2016,7,39108.00799999997
2016,8,31014.4023
2016,9,71848.25089999994
2016,10,58120.42300000001
2016,11,78454.90179999999
2016,12,96075.06700000002
2017,1,43860.28600000001
2017,2,20262.322399999997
2017,3,58739.223799999985
2017,4,36020.17310000001
2017,5,44095.3522
2017,6,52242.5617
2017,7,44490.448000000004
2017,8,62643.40799999998
2017,9,86487.30600000004
2017,10,77542.48319999997
2017,11,117383.38100000004
2017,12,81227.6158
